work_ID,work_species,work_author,trait_value_1.2.2,trait_value_1.6.3,trait_value_3.2.3,trait_value_4.1.3,agreement_1.2.2,cv_1.6.3,cv_3.2.3,cv_4.1.3,n_1.2.2,n_1.6.3,n_3.2.3,n_4.1.3,references_1.2.2,references_1.6.3,references_3.2.3,references_4.1.3
46,Abrotanella emarginata,(Gaudich.) Cass.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
50,Abrotanella linearifolia,A.Gray,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,87",NA,NA,NA
63,Abutilon angulatum,(Guill. & Perr.) Mast.,shrub,1.5,0.0051333335,NA,0.667,NA,0.067,NA,3,1,2,NA,"10111,10144,-10233",10199,10255,NA
68,Abutilon eremitopetalum,Caum,shrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10129,-10233,16",NA,NA,NA
69,Abutilon fruticosum,Guill. & Perr.,subshrub,NA,0.002996667,NA,1,NA,NA,NA,1,NA,1,NA,"+10129,10240",NA,10255,NA
72,Abutilon grandifolium,(Willd.) Sweet,shrub,1.5,0.0032,NA,0.75,0.471,NA,NA,2,2,1,NA,"10111,+10129,10218,10222,16,263,10262,10223,+10060,10246,10348,23","10199,10328",10255,NA
78,Abutilon indicum,(L.) Sweet,subshrub,9.75,NA,NA,0.75,1.124,NA,NA,2,2,NA,NA,"+10129,10206,16,10243,10353,10250,10262","10199,10353",NA,NA
83,Abutilon mauritianum,(Jacq.) Medik.,shrub,1.6,0.00339,NA,1,0.354,NA,NA,1,2,1,NA,"10111,-10233","10076,10199",10255,NA
85,Abutilon menziesii,Seem.,shrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10129,-10233,16",NA,NA,NA
87,Abutilon oxycarpum,(F.Muell.) F.Muell. ex Benth.,herb,1.5,NA,NA,1,NA,NA,NA,1,1,NA,NA,10306,10199,NA,NA
88,Abutilon pannosum,(G.Forst.) Schltdl.,subshrub,2,0.00371,NA,0.714,NA,0.122,NA,7,1,2,NA,"10001,10020,10043,10162,10695",10199,10255,NA
93,Abutilon ramosum,(Cav.) Guill. & Perr.,shrub,2,0.003145,NA,0.75,NA,NA,NA,2,1,1,NA,"10206,10111,-10233",10199,10255,NA
95,Abutilon sandwicense,(O.Deg.) Christoph.,shrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10129,-10233,16",NA,NA,NA
97,Abutilon theophrasti,Medik.,forb,1.05,0.00953144433333333,NA,1,0.407,0.098,NA,1,3,3,NA,"+10129,10312,10315","10199,10328,10353","10247,10191,10255",NA
100,Acacia acinacea,Lindl.,shrub,NA,0.0108575,NA,1,NA,NA,NA,1,NA,1,NA,-10233,NA,10255,NA
105,Acacia aulacocarpa,A.Cunn. ex Benth.,tree,20,0.018592217,NA,1,NA,NA,NA,1,1,1,NA,"10018,-10233",10199,10255,NA
112,Acacia bivenosa,DC.,tree,NA,0.02666,NA,1,NA,NA,NA,1,NA,1,NA,-10233,NA,10255,NA
113,Acacia brachybotrya,Benth.,shrub,NA,0.02186,NA,1,NA,NA,NA,1,NA,1,NA,-10233,NA,10255,NA
115,Acacia caesia,(L.) Willd.,tree,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"10203,-10233",NA,NA,NA
116,Acacia calamifolia,Sweet ex Lindl.,tree,NA,0.0447333335,NA,1,NA,0.562,NA,1,NA,2,NA,-10233,NA,10255,NA
120,Acacia cincinnata,F.Muell.,tree,15,0.011605,NA,1,NA,NA,NA,1,1,1,NA,-10233,10199,10255,NA
122,Acacia concurrens,Pedley,tree,NA,0.008676667,NA,1,NA,NA,NA,1,NA,1,NA,-10233,NA,10255,NA
123,Acacia confusa,Merr.,tree,10,0.031,NA,1,NA,NA,NA,1,1,1,NA,"+10129,10203,-10233,16",10199,10255,NA
126,Acacia crassicarpa,A.Cunn. ex Benth.,tree,20,0.02597,NA,1,NA,NA,NA,1,1,1,NA,-10233,10199,10255,NA
129,Acacia cupularis,Domin,shrub,NA,0.016225,NA,1,NA,NA,NA,1,NA,1,NA,-10233,NA,10255,NA
130,Acacia cyclops,A.Cunn. ex G.Don,shrub,3.7,0.021637,NA,1,NA,0.567,NA,1,1,2,NA,"+10129,10240,10342,10111,-10233",10129,"10129,10255",NA
133,Acacia decurrens,(J.C.Wendl.) Willd.,tree,NA,0.020655,NA,1,NA,0.643,NA,1,NA,2,NA,"10111,+10129,10219,10220,-10233,10250",NA,10255,NA
136,Acacia dodonaeifolia,(Pers.) Balb.,tree,NA,0.02039,NA,1,NA,NA,NA,1,NA,1,NA,-10233,NA,10255,NA
138,Acacia elata,A.Cunn. ex Benth.,tree,18,0.0324575,NA,1,NA,NA,NA,1,1,1,NA,"10111,+10129,-10233",10199,10255,NA
139,Acacia farinosa,Lindl.,shrub,NA,0.00865,NA,1,NA,NA,NA,1,NA,1,NA,-10233,NA,10255,NA
141,Acacia flavescens,A.Cunn. ex Benth.,tree,8,0.03031,NA,1,NA,NA,NA,1,1,1,NA,-10233,10199,10255,NA
142,Acacia floribunda,(Vent.) Willd.,tree,NA,0.012382475,NA,1,NA,0.506,NA,1,NA,2,NA,"10218,-10233",NA,10255,NA
143,Acacia genistifolia,Link,shrub,NA,0.02995,NA,0.75,NA,NA,NA,2,NA,1,NA,-10233,NA,10255,NA
147,Acacia gunnii,Benth.,tree,NA,0.01325,NA,1,NA,NA,NA,1,NA,1,NA,-10233,NA,10255,NA
150,Acacia howittii,F.Muell.,tree,NA,0.0052131,NA,1,NA,NA,NA,1,NA,1,NA,-10233,NA,10255,NA
151,Acacia implexa,Benth.,tree,NA,0.01821,NA,1,NA,NA,NA,1,NA,1,NA,"10111,-10233",NA,10255,NA
153,Acacia ixiophylla,Benth.,tree,NA,0.006486667,NA,1,NA,NA,NA,1,NA,1,NA,-10233,NA,10255,NA
158,Acacia koa,A.Gray,tree,27,0.09175,NA,1,0.367,0.013,NA,1,2,2,NA,"+10129,10203,-10233,16","10129,10199","10129,10255",NA
159,Acacia koaia,Hillebr.,tree,12,0.01111,NA,1,NA,NA,NA,1,1,1,NA,"+10129,-10233",10129,10129,NA
161,Acacia leiophylla,Benth.,tree,NA,0.011647,NA,1,NA,NA,NA,1,NA,1,NA,-10233,NA,10255,NA
162,Acacia leprosa,Sieber ex DC.,tree,NA,0.0050453,NA,1,NA,NA,NA,1,NA,1,NA,-10233,NA,10255,NA
163,Acacia leptocarpa,A.Cunn. ex Benth.,shrub,10,0.0103175,NA,0.833,NA,NA,NA,3,1,1,NA,"252,244,10018",10199,10255,NA
169,Acacia maidenii,F.Muell.,tree,NA,0.0131354,NA,1,NA,NA,NA,1,NA,1,NA,-10233,NA,10255,NA
170,Acacia mangium,Willd.,tree,25,0.0146,NA,1,NA,NA,NA,4,1,1,NA,"10167,10219,-10233,10250,10284",10199,10255,NA
174,Acacia melanoxylon,R.Br.,tree,16.3333333333333,0.013580948,NA,1,0.46,0.062,NA,2,3,3,NA,"+10060,10111,+10129,87,10218,10219,10220,-10233,10250,10342","10129,10199,10328","10129,10247,10255",NA
175,Acacia mucronata,Willd. ex H.L.Wendl.,tree,NA,0.00782333333333333,NA,1,NA,0.416,NA,1,NA,3,NA,-10233,NA,10255,NA
177,Acacia myrtifolia,(Sm.) Willd.,shrub,NA,0.009354722,NA,1,NA,NA,NA,1,NA,1,NA,-10233,NA,10255,NA
180,Acacia oswaldii,F.Muell.,tree,NA,0.07996975,NA,0.75,NA,0.01,NA,2,NA,2,NA,-10233,NA,10255,NA
183,Acacia paradoxa,DC.,shrub,NA,0.0099625,NA,1,NA,0.572,NA,2,NA,2,NA,"+10060,10111,+10129,-10233,10240",NA,10255,NA
184,Acacia parramattensis,Tindale,tree,NA,0.00938,NA,1,NA,NA,NA,1,NA,1,NA,"+10129,-10233,16",NA,10255,NA
190,Acacia peuce,F.Muell.,tree,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,-10233,NA,NA,NA
191,Acacia podalyriifolia,A.Cunn. ex G.Don,tree,NA,0.03228125,NA,1,NA,NA,NA,1,NA,1,NA,"+10129,-10233,10111",NA,10255,NA
194,Acacia polystachya,A.Cunn. ex Benth.,tree,NA,0.01701,NA,1,NA,NA,NA,3,NA,1,NA,"-10233,252,229,244",NA,10255,NA
195,Acacia pravissima,F.Muell. ex Benth.,tree,NA,0.00839365,NA,1,NA,NA,NA,1,NA,1,NA,-10233,NA,10255,NA
198,Acacia riceana,Hensl.,tree,NA,0.00916,NA,1,NA,NA,NA,1,NA,1,NA,-10233,NA,10255,NA
199,Acacia riparia,Kunth,tree,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"10203,-10233",NA,NA,NA
203,Acacia rupicola,F.Muell. ex Benth.,shrub,NA,0.02048,NA,1,NA,NA,NA,1,NA,1,NA,-10233,NA,10255,NA
204,Acacia salicina,Lindl.,tree,NA,0.047814857,NA,0.75,NA,NA,NA,2,NA,1,NA,"-10233,10240,10342",NA,10255,NA
208,Acacia siculiformis,A.Cunn. ex Benth.,tree,NA,0.009235,NA,1,NA,NA,NA,1,NA,1,NA,-10233,NA,10255,NA
209,Acacia simplex,(Sparrm.) Pedley,tree,NA,NA,NA,1,NA,NA,NA,3,NA,NA,NA,"10218,229,10349",NA,NA,NA
211,Acacia simsii,A.Cunn. ex Benth.,tree,NA,0.048775,NA,1,NA,NA,NA,1,NA,1,NA,-10233,NA,10255,NA
215,Acacia spinescens,Benth.,shrub,NA,0.0056,NA,1,NA,NA,NA,1,NA,1,NA,-10233,NA,10255,NA
218,Acacia suaveolens,(Sm.) Willd.,shrub,NA,0.029677164,NA,1,NA,NA,NA,1,NA,1,NA,"10222,-10233",NA,10255,NA
220,Acacia tenuifolia,(L.) Willd.,tree,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"10203,-10233",NA,NA,NA
221,Acacia terminalis,(Salisb.) J.F.Macbr.,tree,NA,0.028366,NA,1,NA,0.303,NA,1,NA,2,NA,"10111,-10233",NA,10255,NA
223,Acacia tortuosa,(L.) Willd.,tree,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,-10233,NA,NA,NA
224,Acacia triquetra,Benth.,shrub,NA,0.00549,NA,1,NA,NA,NA,1,NA,1,NA,-10233,NA,10255,NA
232,Acaciella glauca,(L.) L.Rico,tree,3,0.0242283335,NA,0.875,NA,0.965,NA,4,1,2,NA,"10222,-10233,10250,10352,229",10199,10255,NA
233,Acaena agnipila,Gand.,herb,0.45,NA,NA,1,NA,NA,NA,1,1,NA,NA,-10233,10328,NA,NA
234,Acaena anserinifolia,(J.R.Forst. & G.Forst.) J.B.Armstr.,subshrub,0.15,6.3e-4,NA,1,NA,1.414,NA,1,1,2,NA,10328,10191,"10255,10328",NA
235,Acaena antarctica,Hook.f.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,-10233",NA,NA,NA
236,Acaena argentea,Ruiz & Pav.,herb,NA,7.8e-4,NA,1,NA,NA,NA,1,NA,1,NA,"+10060,87,-10233,10223",NA,10255,NA
240,Acaena echinata,Nees,subshrub,NA,0.008291,NA,1,NA,NA,NA,1,NA,1,NA,10328,NA,10255,NA
242,Acaena exigua,A.Gray,forb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10129,NA,NA,NA
243,Acaena fissistipula,Bitter,herb,NA,0.00107,NA,1,NA,NA,NA,1,NA,1,NA,-10233,NA,10255,NA
247,Acaena lucida,(Aiton) Vahl,herb,NA,0.00241,NA,1,NA,NA,NA,1,NA,1,NA,"+10060,-10233",NA,10255,NA
248,Acaena magellanica,(Lam.) Vahl,herb,NA,0.00144,NA,1,NA,NA,NA,1,NA,1,NA,"+10060,-10233",NA,10255,NA
249,Acaena masafuerana,Bitter,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,87",NA,NA,NA
253,Acaena novae-zelandiae,Kirk,forb,0.07,0.001611667,NA,1,NA,NA,NA,1,1,1,NA,+10129,10328,10255,NA
254,Acaena ovalifolia,Ruiz & Pav.,herb,NA,8.9e-4,NA,1,NA,NA,NA,1,NA,1,NA,"+10060,87,10218,-10233,10223,10250",NA,10255,NA
255,Acaena ovina,A.Cunn.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,-10233,NA,NA,NA
256,Acaena pallida,(Kirk) Allan,forb,NA,0.00298,NA,1,NA,NA,NA,1,NA,1,NA,+10129,NA,10255,NA
257,Acaena pumila,Vahl,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10060,NA,NA,NA
262,Acaena tenera,Albov,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,-10233",NA,NA,NA
264,Acalypha abingdonii,Seberg,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,10220,NA,NA,NA
266,Acalypha amentacea,Roxb.,shrub,2,NA,NA,1,NA,NA,NA,1,1,NA,NA,"+10129,10219,10220,10250",10199,NA,NA
267,Acalypha angatensis,Blanco,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,10222,NA,NA,NA
271,Acalypha australis,L.,forb,0.375,9.9e-4,NA,1,0.094,NA,NA,1,2,1,NA,+10129,"10199,10353",10255,NA
273,Acalypha berteroana,Müll.Arg.,shrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10129,NA,NA,NA
274,Acalypha bisetosa,Bertol. ex Spreng.,shrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10129,NA,NA,NA
276,Acalypha caturus,Blume,tree,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"10203,-10233",NA,NA,NA
278,Acalypha ciliata,Forssk.,herb,0.9,8.7e-4,NA,1,NA,NA,NA,3,1,1,NA,"10111,-10233,258,10352",10199,10255,NA
279,Acalypha claoxyloides,Hutch.,shrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,-10233,NA,NA,NA
281,Acalypha crenata,Hochst. ex A.Rich.,herb,NA,NA,NA,0.75,NA,NA,NA,2,NA,NA,NA,"10352,10111,-10233",NA,NA,NA
283,Acalypha cuspidata,Jacq.,shrub,NA,NA,NA,0.667,NA,NA,NA,2,NA,NA,NA,"10220,10250",NA,NA,NA
289,Acalypha fimbriata,Schumach. & Thonn.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"10111,-10233",NA,NA,NA
292,Acalypha gracilens,A.Gray,forb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10129,NA,NA,NA
293,Acalypha grandis,Benth.,shrub,6,NA,NA,0.75,NA,NA,NA,2,1,NA,NA,"10349,-10233,229",10199,NA,NA
295,Acalypha havanensis,Müll.Arg.,herb,NA,8e-4,NA,1,NA,NA,NA,1,NA,1,NA,-10233,NA,10255,NA
296,Acalypha hispida,Burm.f.,shrub,1.875,NA,NA,1,0.094,NA,NA,1,2,NA,NA,"+10129,10220,-10233,10250,10223,10284,229,10349,10352,10219","10199,10353",NA,NA
298,Acalypha indica,L.,forb,0.975,6.1e-4,NA,1,0.326,NA,NA,1,2,1,NA,+10129,"10199,10353",10255,NA
303,Acalypha lanceolata,Willd.,herb,0.408333333333333,5.9e-4,NA,1,0.71,NA,NA,6,3,1,NA,"10243,252,229,10349,10353,10193,-10233","10076,10199,10353",10255,NA
306,Acalypha lepinei,Müll.Arg.,shrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,-10233,NA,NA,NA
313,Acalypha noronhae,Ridl.,subshrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,10262,NA,NA,NA
320,Acalypha portoricensis,Müll.Arg.,shrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10129,NA,NA,NA
327,Acalypha repanda,Müll.Arg.,shrub,NA,NA,NA,0.75,NA,NA,NA,2,NA,NA,NA,"10349,229",NA,NA,NA
331,Acalypha setosa,A.Rich.,forb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10129,10201",NA,NA,NA
338,Acalypha villosa,Jacq.,shrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10060,10027,10218,10219,10220,10222,10250,10223,10262,10350",NA,NA,NA
341,Acalypha virginica,L.,forb,0.91,6.52e-4,NA,1,NA,0.037,NA,1,1,2,NA,+10129,10129,"10129,10255",NA
344,Acalypha wilkesiana,Müll.Arg.,shrub,2.33333333333333,NA,NA,1,0.124,NA,NA,1,3,NA,NA,"+10129,10218,-10233,258,10223,10284,229,244,10349,10352","10199,10353",NA,NA
345,Acampe pachyglossa,Rchb.f.,subshrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,10193,NA,NA,NA
346,Acampe praemorsa,(Roxb.) Blatt. & McCann,subshrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,10193,NA,NA,NA
349,Acanthephippium splendidum,J.J.Sm.,herb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,10349,NA,NA,NA
351,Acanthephippium sylhetense,Lindl.,herb,NA,7e-7,NA,1,NA,NA,NA,1,NA,1,NA,-10233,NA,10255,NA
352,Acanthocarpus preissii,Lehm.,herb,NA,0.05358,NA,1,NA,NA,NA,1,NA,1,NA,"-10233,10193",NA,10255,NA
354,Acanthocereus tetragonus,(L.) Hummelinck,shrub,3,NA,NA,1,NA,NA,NA,1,1,NA,NA,"+10129,-10233,10250",10199,NA,NA
357,Acantholimon ulicinum,(Willd. ex Schult.) Boiss.,subshrub,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,10240,NA,NA,NA
363,Acanthospermum humile,(Sw.) DC.,forb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10129,NA,NA,NA
364,Acanthospermum microcarpum,B.L.Rob.,herb,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,"10220,10223",NA,NA,NA
365,Acanthus ebracteatus,Vahl,shrub,1.5,NA,NA,1,0,NA,NA,4,2,NA,NA,"10018,10243,252,10353","10199,10353",NA,NA
366,Acanthus ilicifolius,L.,shrub,1.5,NA,NA,1,0.471,NA,NA,5,2,NA,NA,"10018,10243,252,244,10353,-10233","10199,10353",NA,NA
367,Acanthus mollis,L.,forb,NA,0.208,NA,1,NA,0,NA,1,NA,2,NA,+10129,NA,"10247,10255",NA
368,Acanthus montanus,(Nees) T.Anderson,herb,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,"10053,258",NA,NA,NA
372,Acer buergerianum,Miq.,tree,11.5,0.011,NA,1,0.194,NA,NA,3,5,1,NA,"10243,10332,10353,-10233",10353,10255,NA
373,Acer campbellii,Hook.f. & Thomson ex Hiern,tree,12.5,0.45455,230.4625154,1,0.283,NA,NA,3,2,1,1,"-10233,10243,10332,10353",10353,10255,10332
375,Acer capillipes,Maxim.,tree,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,-10233,NA,NA,NA
376,Acer cappadocicum,Gled.,tree,17.5,0.1156225,NA,1,0,0.384,NA,2,2,2,NA,"-10233,10243,10353",10353,10255,NA
377,Acer caudatifolium,Hayata,tree,20,0.01957,NA,1,NA,NA,NA,2,1,1,NA,"-10233,10243,10353",10353,10255,NA
378,Acer caudatum,Wall.,tree,20,0.013735,NA,1,NA,0.439,NA,2,1,2,NA,"-10233,10243,10353",10353,10255,NA
379,Acer davidii,Franch.,tree,15,0.0259975,NA,1,NA,NA,NA,2,1,1,NA,"-10233,10243,10353",10353,10255,NA
380,Acer duplicatoserratum,Hayata,tree,6.5,NA,NA,1,NA,NA,NA,2,1,NA,NA,"10243,10353",10353,NA,NA
381,Acer fabri,Hance,tree,10,NA,NA,1,NA,NA,NA,3,1,NA,NA,"10203,10243,10353",10353,NA,NA
382,Acer granatense,Boiss.,tree,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"-10233,10291",NA,NA,NA
383,Acer japonicum,Thunb.,tree,NA,0.0505925,NA,1,NA,NA,NA,1,NA,1,NA,"+10129,-10233,10243,10353",NA,10255,NA
384,Acer laurinum,Hassk.,tree,30,NA,NA,1,NA,NA,NA,1,1,NA,NA,"10203,-10233",10199,NA,NA
385,Acer lucidum,F.P.Metcalf,tree,7.5,NA,NA,1,NA,NA,NA,2,1,NA,NA,"-10233,10243,10353",10353,NA,NA
386,Acer macrophyllum,Pursh,tree,23.935,0.141911491666667,NA,1,0.351,0.03,NA,1,2,3,NA,"+10129,-10233","10129,10192","10129,10192,10255",NA
387,Acer monspessulanum,L.,tree,11,0.039075,124.6,1,NA,0.254,NA,3,1,2,1,"-10233,10240,10289,10291",10191,10255,10191
388,Acer negundo,L.,tree,17.3725,0.0357037375,251,1,0.232,0.284,NA,2,4,8,1,"+10060,+10129,10218,-10233,10243,10312,10315,10353","10129,10192,10191,10353","10129,10192,10247,10191,10255",10191
389,Acer oblongum,Wall. ex DC.,tree,15,NA,NA,1,0,NA,NA,3,2,NA,NA,"10203,-10233,10243,10353",10353,NA,NA
390,Acer oliverianum,Pax,tree,5.5,NA,NA,1,NA,NA,NA,2,1,NA,NA,"-10233,10243,10353",10353,NA,NA
391,Acer opalus,Mill.,tree,12,0.077,162.87,1,NA,0.422,NA,1,1,2,1,"-10233,10291",10191,10255,10191
393,Acer pictum,Thunb.,tree,NA,0.03376233325,322.86506752,1,NA,0.928,NA,1,NA,4,1,"-10233,10332",NA,10255,10332
394,Acer platanoides,L.,tree,21.25,0.137714779333333,196.55,1,0.416,0.252,NA,1,2,3,1,"+10129,10216,-10233,10315","10129,10191","10129,10191,10255",10191
395,Acer pseudoplatanus,L.,tree,21.9333333333333,0.0946594776,166.8,1,0.204,0.198,NA,2,3,5,1,"+10060,+10129,10216,-10233,10315,10342","10129,10191,10328","10129,10247,10191,10255",10191
396,Acer rubrum,L.,tree,24.52,0.0199320625,NA,1,0.203,0.259,NA,1,2,4,NA,"+10129,10203,-10233","10129,10192","10129,10192,10255",NA
397,Acer rufinerve,Siebold & Zucc.,tree,NA,0.02646,NA,1,NA,NA,NA,1,NA,1,NA,-10233,NA,10255,NA
398,Acer saccharinum,L.,tree,32.29,0.18097029,297,1,0.212,0.563,NA,1,3,4,1,"+10129,10218,10220,-10233,10312","10129,10192,10191","10129,10192,10191,10255",10191
399,Acer sempervirens,L.,tree,NA,0.008,NA,0.75,NA,NA,NA,2,NA,1,NA,-10233,NA,10255,NA
400,Acer sieboldianum,Miq.,tree,NA,0.06557,NA,1,NA,NA,NA,1,NA,1,NA,-10233,NA,10255,NA
401,Acer sikkimense,Miq.,tree,12.5,NA,NA,1,NA,NA,NA,2,1,NA,NA,"10243,10353",10353,NA,NA
402,Acer sino-oblongum,F.P.Metcalf,tree,6,NA,NA,1,NA,NA,NA,2,1,NA,NA,"10243,10353",10353,NA,NA
405,Acer tutcheri,Duthie,tree,7.5,NA,NA,1,0,NA,NA,2,2,NA,NA,"10243,10353",10353,NA,NA
408,Achillea ageratum,L.,forb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,"+10129,10291",NA,NA,NA
409,Achillea alpina,L.,forb,NA,2.3e-4,NA,1,NA,NA,NA,1,NA,1,NA,+10129,NA,10255,NA
410,Achillea collina,Becker ex Rchb.,herb,0.55,1.4325e-4,174,1,NA,0.047,NA,7,1,2,1,"-10233,10114,10132,10172,10215,10289,10302,10313",10191,"10191,10255",10191
412,Achillea distans,Waldst. & Kit. ex Willd.,forb,NA,2.24333333333333e-4,NA,1,NA,0.341,NA,1,NA,3,NA,+10129,NA,"10191,10255",NA
413,Achillea filipendulina,Lam.,forb,NA,1.15e-4,NA,1,NA,NA,NA,1,NA,1,NA,+10129,NA,10255,NA
415,Achillea ligustica,All.,forb,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,+10129,NA,NA,NA
417,Achillea maritima,(L.) Ehrend. & Y.P.Guo,subshrub,NA,0.00802,NA,0.75,NA,1.231,NA,4,NA,2,NA,"10240,10114,81",NA,10255,NA
419,Achillea nobilis,L.,forb,0.4,6.4e-5,NA,1,NA,NA,NA,1,1,1,NA,"+10129,10312",10191,10191,NA
421,Achillea salicifolia,Besser ex DC.,herb,0.625,2.48e-4,212.5,0.667,NA,NA,NA,3,1,1,1,"-10233,10243,10353",10191,10191,10191
423,Achimenes erecta,(Lam.) H.P.Fuchs,herb,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,"10219,10250",NA,NA,NA
425,Achimenes longiflora,DC.,herb,NA,NA,NA,0.75,NA,NA,NA,4,NA,NA,NA,"10219,-10233,10250,229",NA,NA,NA
