id,plot,location,elevation,plot_size,treatment,treatment_age,mowing_age,mowing,survey_date,year,cover_vegetation,height_vegetation,parcel,block,year_topsoil_removal,year_hay_transfer,mowing_date,mowing_date_start,mowing_date_former,mowing_date_former_start,cover_soil_2024,grass_cover,graminoid_cover,richness_total,richness_R1A,richness_R22,richness_both,rlg_CR,rlg_VU,rlg_NT,rlg_EN,rlg,shannon,evenness,CWM_Height,CWM_Seed,CWM_SLA,botanist
X2003roederM11,M11,middle,469,4,control_2003,control_2003,NA,NA,NA,2003,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,6,38,33,23,8,8,1,6,11,0,18,2.18008,0.6235,0.24197,0.00276,5.30047,Daniela Röder
X2003roederM12,M12,middle,469,4,control_2003,control_2003,NA,NA,NA,2003,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,2,33,35,18,5,5,1,6,14,0,21,2.19387,0.61706,0.2272,0.0037,5.29936,Daniela Röder
X2003roederM13,M13,middle,469,4,control_2003,control_2003,NA,NA,NA,2003,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,3,23,36,14,3,3,1,9,14,0,24,2.30227,0.64246,0.2615,0.00354,5.30591,Daniela Röder
X2003roederM14,M14,middle,469,4,control_2003,control_2003,NA,NA,NA,2003,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,33,45,35,19,4,4,1,6,13,0,20,2.83462,0.79728,0.28013,0.00269,5.12833,Daniela Röder
X2003roederM15,M15,middle,469,4,control_2003,control_2003,NA,NA,NA,2003,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,6,22,36,21,8,8,1,7,14,0,22,2.9646,0.82729,0.23184,0.00309,5.22339,Daniela Röder
X2003roederM16,M16,middle,469,4,control_2003,control_2003,NA,NA,NA,2003,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,1,16,32,21,7,7,1,4,14,0,19,1.9063,0.55004,0.26668,0.0031,5.34161,Daniela Röder
X2003roederM17,M17,middle,469,4,control_2003,control_2003,NA,NA,NA,2003,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,4,14,33,15,3,3,1,8,10,0,19,2.20687,0.63116,0.28513,0.00359,5.32791,Daniela Röder
X2003roederM18,M18,middle,469,4,control_2003,control_2003,NA,NA,NA,2003,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,2,32,33,16,4,4,1,6,12,0,19,2.30847,0.66022,0.22803,0.00285,5.27108,Daniela Röder
X2003roederN01,N01,north,469,4,control_2003,control_2003,NA,NA,NA,2003,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,4,44,25,20,7,7,1,5,9,0,15,1.64271,0.51034,0.23546,0.00249,5.33298,Daniela Röder
X2003roederN02,N02,north,469,4,control_2003,control_2003,NA,NA,NA,2003,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,50,70,20,13,5,5,1,4,9,0,14,1.64961,0.55065,0.33123,0.00284,5.36964,Daniela Röder
X2003roederN03,N03,north,469,4,control_2003,control_2003,NA,NA,NA,2003,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,6,46,24,15,4,4,0,4,9,0,13,1.83705,0.57804,0.23112,0.00252,5.29911,Daniela Röder
X2003roederN04,N04,north,469,4,control_2003,control_2003,NA,NA,NA,2003,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,3,33,27,19,9,9,0,4,11,0,15,1.88478,0.57187,0.35959,0.00189,5.31513,Daniela Röder
X2003roederN05,N05,north,469,4,control_2003,control_2003,NA,NA,NA,2003,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,8,39,24,15,1,1,0,3,11,0,14,1.76411,0.55509,0.24824,0.00253,5.34562,Daniela Röder
X2003roederN06,N06,north,469,4,control_2003,control_2003,NA,NA,NA,2003,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,21,51,24,15,2,2,0,4,10,1,15,1.99133,0.62659,0.27528,0.0026,5.34007,Daniela Röder
X2003roederS01,S01,south,469,4,control_2003,control_2003,NA,NA,NA,2003,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,2,32,29,11,1,1,1,8,10,0,19,2.26488,0.67261,0.20407,0.00283,5.24172,Daniela Röder
X2003roederS02,S02,south,469,4,control_2003,control_2003,NA,NA,NA,2003,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,4,44,29,11,3,3,1,7,11,0,19,2.09264,0.62146,0.22985,0.00325,5.27596,Daniela Röder
X2003roederS03,S03,south,469,4,control_2003,control_2003,NA,NA,NA,2003,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,10,90,31,14,6,6,1,8,13,0,22,2.00504,0.58388,0.20022,0.00268,5.27305,Daniela Röder
X2003roederS04,S04,south,469,4,control_2003,control_2003,NA,NA,NA,2003,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,4,54,29,19,8,8,1,5,10,1,17,2.06704,0.61386,0.21669,0.00333,5.3038,Daniela Röder
X2003roederS05,S05,south,469,4,control_2003,control_2003,NA,NA,NA,2003,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,10,60,26,15,7,7,1,6,8,0,15,2.10752,0.64686,0.22039,0.00367,5.27072,Daniela Röder
X2003roederS06,S06,south,469,4,control_2003,control_2003,NA,NA,NA,2003,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,1,61,28,16,7,7,1,6,11,0,18,1.81735,0.54539,0.21455,0.003,5.28102,Daniela Röder
X2003roederS07,S07,south,469,4,control_2003,control_2003,NA,NA,NA,2003,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,5,65,30,18,10,10,1,5,12,0,18,1.93415,0.56867,0.17965,0.00168,5.00233,Daniela Röder
X2003roederS08,S08,south,469,4,control_2003,control_2003,NA,NA,NA,2003,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,4,55,27,9,2,2,1,8,10,0,19,2.04759,0.62127,0.19154,0.00436,5.23126,Daniela Röder
X2003roederS09,S09,south,469,4,control_2003,control_2003,NA,NA,NA,2003,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,15,78,26,15,7,7,0,7,9,0,16,2.0634,0.63331,0.22495,0.00263,5.25868,Daniela Röder
X2003roederS10,S10,south,469,4,control_2003,control_2003,NA,NA,NA,2003,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,4,65,25,12,8,8,1,6,10,0,17,1.95219,0.60648,0.20562,0.00327,5.26814,Daniela Röder
X2003roederS11,S11,south,469,4,control_2003,control_2003,NA,NA,NA,2003,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,0,41,30,16,8,8,1,6,14,0,21,2.35777,0.69322,0.22594,0.01661,5.28528,Daniela Röder
X2003roederS12,S12,south,469,4,control_2003,control_2003,NA,NA,NA,2003,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,2,72,25,14,7,7,1,5,9,0,15,1.95314,0.60678,0.20583,0.00313,5.2345,Daniela Röder
X2003roederS13,S13,south,469,4,control_2003,control_2003,NA,NA,NA,2003,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,10,60,27,13,7,7,1,6,10,0,17,2.21077,0.67078,0.2372,0.003,5.22907,Daniela Röder
X2003roederS14,S14,south,469,4,control_2003,control_2003,NA,NA,NA,2003,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,20,60,29,13,7,7,1,6,12,0,19,2.46923,0.7333,0.26453,0.00434,5.27307,Daniela Röder
X2003roederS15,S15,south,469,4,control_2003,control_2003,NA,NA,NA,2003,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,9,69,29,15,7,7,1,6,11,0,18,2.28959,0.67995,0.19643,0.00335,5.1672,Daniela Röder
X2003roederS16,S16,south,469,4,control_2003,control_2003,NA,NA,NA,2003,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,23,94,31,16,6,6,1,6,13,0,20,2.25411,0.65641,0.20867,0.004,5.19378,Daniela Röder
X2003roederS17,S17,south,469,4,control_2003,control_2003,NA,NA,NA,2003,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,7,47,31,19,9,9,1,5,11,0,17,2.36834,0.68968,0.17785,0.00249,4.92505,Daniela Röder
X2003roederS18,S18,south,469,4,control_2003,control_2003,NA,NA,NA,2003,NA,NA,NA,NA,NA,no,NA,NA,NA,NA,NA,6,36,32,16,7,7,1,7,12,0,20,2.44944,0.70676,0.17189,0.0026,4.95448,Daniela Röder
X2018roederM01,M01,middle,469,4,control_2018,control_2018,NA,NA,NA,2018,90,13,NA,NA,NA,no,NA,NA,NA,NA,NA,14,54,37,22,9,9,1,7,15,0,23,2.68836,0.74451,0.25154,0.00285,5.20972,Markus Bauer
X2018roederM02,M02,middle,469,4,control_2018,control_2018,NA,NA,NA,2018,97.5,16,NA,NA,NA,no,NA,NA,NA,NA,NA,7,57,29,14,4,4,1,5,12,0,18,2.22613,0.6611,0.18544,0.00162,5.11474,Markus Bauer
X2018roederM03,M03,middle,469,4,control_2018,control_2018,NA,NA,NA,2018,97.5,18,NA,NA,NA,no,NA,NA,NA,NA,NA,23,63,26,12,2,2,1,5,10,0,16,2.21394,0.67952,0.24984,0.00288,5.27534,Markus Bauer
X2018roederM04,M04,middle,469,4,control_2018,control_2018,NA,NA,NA,2018,97.5,17,NA,NA,NA,no,NA,NA,NA,NA,NA,45,75,28,15,5,5,1,7,9,0,17,2.1661,0.65005,0.32885,0.00236,5.31665,Markus Bauer
X2018roederM05,M05,middle,469,4,control_2018,control_2018,NA,NA,NA,2018,90,20,NA,NA,NA,no,NA,NA,NA,NA,NA,34,74,32,21,8,8,1,7,11,0,19,2.30434,0.66489,0.29103,0.00211,5.26306,Markus Bauer
X2018roederM06,M06,middle,469,4,control_2018,control_2018,NA,NA,NA,2018,90,14,NA,NA,NA,no,NA,NA,NA,NA,NA,27,57,37,24,10,10,1,8,14,0,23,2.75086,0.76182,0.29702,0.00257,5.21621,Markus Bauer
X2018roederM07,M07,middle,469,4,control_2018,control_2018,NA,NA,NA,2018,97.5,19,NA,NA,NA,no,NA,NA,NA,NA,NA,7,49,33,20,4,4,0,3,16,0,19,2.25829,0.64587,0.22485,0.00268,5.25931,Markus Bauer
X2018roederM08,M08,middle,469,4,control_2018,control_2018,NA,NA,NA,2018,97.5,20,NA,NA,NA,no,NA,NA,NA,NA,NA,26,76,27,15,3,3,1,4,14,0,19,2.27056,0.68892,0.27187,0.00245,5.3156,Markus Bauer
X2018roederM09,M09,middle,469,4,control_2018,control_2018,NA,NA,NA,2018,97.5,15,NA,NA,NA,no,NA,NA,NA,NA,NA,7,68,34,22,9,9,1,4,17,0,22,2.43929,0.69173,0.21255,0.00235,5.18918,Markus Bauer
X2018roederM10,M10,middle,469,4,control_2018,control_2018,NA,NA,NA,2018,97.5,15,NA,NA,NA,no,NA,NA,NA,NA,NA,14,55,40,23,11,11,2,8,13,0,23,2.56726,0.69594,0.24796,0.00232,5.2801,Markus Bauer
X2018roederM11,M11,middle,469,4,control_2018,control_2018,NA,NA,NA,2018,90,15,NA,NA,NA,no,NA,NA,NA,NA,NA,8,48,37,23,10,10,1,6,15,0,22,2.33793,0.64746,0.22591,0.00265,5.25379,Markus Bauer
X2018roederM12,M12,middle,469,4,control_2018,control_2018,NA,NA,NA,2018,90,13,NA,NA,NA,no,NA,NA,NA,NA,NA,9,41,34,17,4,4,0,6,15,0,21,2.42176,0.68676,0.25077,0.00282,5.29448,Markus Bauer
X2018roederM13,M13,middle,469,4,control_2018,control_2018,NA,NA,NA,2018,97.5,18,NA,NA,NA,no,NA,NA,NA,NA,NA,5,35,36,16,4,4,1,7,14,0,22,2.40088,0.66998,0.23378,0.00279,5.25338,Markus Bauer
X2018roederM14,M14,middle,469,4,control_2018,control_2018,NA,NA,NA,2018,90,13,NA,NA,NA,no,NA,NA,NA,NA,NA,6,66,25,12,3,3,0,4,13,0,17,1.8217,0.56594,0.1865,0.00393,5.24012,Markus Bauer
X2018roederM15,M15,middle,469,4,control_2018,control_2018,NA,NA,NA,2018,97.5,14,NA,NA,NA,no,NA,NA,NA,NA,NA,10,70,34,23,9,9,0,4,15,0,19,2.19819,0.62336,0.18503,0.00226,5.14407,Markus Bauer
X2018roederM16,M16,middle,469,4,control_2018,control_2018,NA,NA,NA,2018,97.5,19,NA,NA,NA,no,NA,NA,NA,NA,NA,4,45,27,12,3,3,1,5,11,0,17,1.82734,0.55444,0.2187,0.00242,5.30523,Markus Bauer
X2018roederM17,M17,middle,469,4,control_2018,control_2018,NA,NA,NA,2018,90,20,NA,NA,NA,no,NA,NA,NA,NA,NA,9,49,34,19,8,8,1,8,12,0,21,2.28125,0.64691,0.24132,0.00238,5.27109,Markus Bauer
X2018roederM18,M18,middle,469,4,control_2018,control_2018,NA,NA,NA,2018,97.5,20,NA,NA,NA,no,NA,NA,NA,NA,NA,6,56,32,18,4,4,1,2,14,0,17,1.96854,0.568,0.20841,0.00256,5.29466,Markus Bauer
X2018roederN01,N01,north,469,4,control_2018,control_2018,NA,NA,NA,2018,97.5,19,NA,NA,NA,no,NA,NA,NA,NA,NA,7,48,22,13,2,2,0,4,11,0,15,1.67741,0.54267,0.23923,0.00259,5.30244,Markus Bauer
X2018roederN02,N02,north,469,4,control_2018,control_2018,NA,NA,NA,2018,97.5,18,NA,NA,NA,no,NA,NA,NA,NA,NA,18,49,33,23,7,7,0,5,15,0,20,2.36639,0.67679,0.27532,0.00289,5.31253,Markus Bauer
X2018roederN03,N03,north,469,4,control_2018,control_2018,NA,NA,NA,2018,90,16,NA,NA,NA,no,NA,NA,NA,NA,NA,11,62,27,16,3,3,0,5,13,0,18,2.27977,0.69171,0.23798,0.00227,5.23617,Markus Bauer
X2018roederN04,N04,north,469,4,control_2018,control_2018,NA,NA,NA,2018,90,20,NA,NA,NA,no,NA,NA,NA,NA,NA,68,78,23,13,1,1,0,4,14,0,18,1.80052,0.57424,0.43007,0.00287,5.36775,Markus Bauer
X2018roederN05,N05,north,469,4,control_2018,control_2018,NA,NA,NA,2018,97.5,22,NA,NA,NA,no,NA,NA,NA,NA,NA,10,60,20,13,3,3,0,4,10,0,14,1.82829,0.6103,0.2462,0.00265,5.26926,Markus Bauer
X2018roederN06,N06,north,469,4,control_2018,control_2018,NA,NA,NA,2018,90,17,NA,NA,NA,no,NA,NA,NA,NA,NA,34,74,20,15,4,4,0,3,8,0,11,2.2293,0.74416,0.29258,0.00204,5.1893,Markus Bauer
X2018roederS01,S01,south,469,4,control_2018,control_2018,NA,NA,NA,2018,97.5,21,NA,NA,NA,no,NA,NA,NA,NA,NA,24,46,32,13,3,3,0,9,13,0,22,2.56611,0.74042,0.26914,0.00245,5.24786,Markus Bauer
X2018roederS02,S02,south,469,4,control_2018,control_2018,NA,NA,NA,2018,90,19,NA,NA,NA,no,NA,NA,NA,NA,NA,27,49,34,15,4,4,0,9,12,0,21,2.72947,0.77402,0.3061,0.00245,5.28722,Markus Bauer
X2018roederS03,S03,south,469,4,control_2018,control_2018,NA,NA,NA,2018,80,14,NA,NA,NA,no,NA,NA,NA,NA,NA,14,44,18,7,0,0,0,6,8,0,14,2.0081,0.69476,0.2447,0.00333,5.28288,Markus Bauer
X2018roederS04,S04,south,469,4,control_2018,control_2018,NA,NA,NA,2018,97.5,20,NA,NA,NA,no,NA,NA,NA,NA,NA,8,50,34,21,9,9,0,6,11,0,17,2.20601,0.62558,0.23644,0.00281,5.30115,Markus Bauer
X2018roederS05,S05,south,469,4,control_2018,control_2018,NA,NA,NA,2018,97.5,17,NA,NA,NA,no,NA,NA,NA,NA,NA,15,49,34,15,5,5,1,7,12,0,20,2.64712,0.75067,0.27646,0.00272,5.2835,Markus Bauer
X2018roederS06,S06,south,469,4,control_2018,control_2018,NA,NA,NA,2018,97.5,19,NA,NA,NA,no,NA,NA,NA,NA,NA,8,48,34,17,9,9,1,7,12,0,20,2.6293,0.74561,0.24562,0.00269,5.25696,Markus Bauer
X2018roederS07,S07,south,469,4,control_2018,control_2018,NA,NA,NA,2018,97.5,17,NA,NA,NA,no,NA,NA,NA,NA,NA,14,44,37,20,10,10,1,4,15,1,21,2.63549,0.72987,0.24455,0.00223,5.10054,Markus Bauer
X2018roederS08,S08,south,469,4,control_2018,control_2018,NA,NA,NA,2018,97.5,16,NA,NA,NA,no,NA,NA,NA,NA,NA,14,45,30,13,3,3,0,6,14,0,20,2.6413,0.77658,0.27228,0.00276,5.19332,Markus Bauer
X2018roederS09,S09,south,469,4,control_2018,control_2018,NA,NA,NA,2018,90,19,NA,NA,NA,no,NA,NA,NA,NA,NA,26,58,36,19,5,5,0,6,16,0,22,2.72717,0.76103,0.29981,0.00379,5.21247,Markus Bauer
X2018roederS10,S10,south,469,4,control_2018,control_2018,NA,NA,NA,2018,90,15,NA,NA,NA,no,NA,NA,NA,NA,NA,9,49,29,13,2,2,0,5,15,0,20,2.48587,0.73824,0.23337,0.00365,5.16957,Markus Bauer
X2018roederS11,S11,south,469,4,control_2018,control_2018,NA,NA,NA,2018,90,19,NA,NA,NA,no,NA,NA,NA,NA,NA,34,55,32,18,8,8,0,7,14,0,21,2.53137,0.7304,0.34324,0.00433,5.28547,Markus Bauer
X2018roederS12,S12,south,469,4,control_2018,control_2018,NA,NA,NA,2018,97.5,18,NA,NA,NA,no,NA,NA,NA,NA,NA,25,55,27,14,3,3,0,5,15,0,20,2.25008,0.6827,0.30022,0.02609,5.40064,Markus Bauer
X2018roederS13,S13,south,469,4,control_2018,control_2018,NA,NA,NA,2018,97.5,19,NA,NA,NA,no,NA,NA,NA,NA,NA,19,59,29,18,4,4,0,7,13,0,20,2.3605,0.70101,0.24681,0.00215,5.25423,Markus Bauer
X2018roederS14,S14,south,469,4,control_2018,control_2018,NA,NA,NA,2018,97.5,14,NA,NA,NA,no,NA,NA,NA,NA,NA,7,47,33,20,8,8,1,6,15,0,22,2.57986,0.73784,0.17704,0.00469,5.09861,Markus Bauer
X2018roederS15,S15,south,469,4,control_2018,control_2018,NA,NA,NA,2018,90,20,NA,NA,NA,no,NA,NA,NA,NA,NA,28,69,36,19,7,7,1,6,15,1,23,2.50642,0.69943,0.25722,0.00375,5.20491,Markus Bauer
X2018roederS16,S16,south,469,4,control_2018,control_2018,NA,NA,NA,2018,97.5,20,NA,NA,NA,no,NA,NA,NA,NA,NA,8,58,29,12,1,1,0,5,13,0,18,2.33124,0.69232,0.22966,0.01078,5.19764,Markus Bauer
X2018roederS17,S17,south,469,4,control_2018,control_2018,NA,NA,NA,2018,90,20,NA,NA,NA,no,NA,NA,NA,NA,NA,24,74,24,14,4,4,0,3,12,0,15,2.01415,0.63376999999999994,0.24024,0.00273,5.21612,Markus Bauer
X2018roederS18,S18,south,469,4,control_2018,control_2018,NA,NA,NA,2018,90,17,NA,NA,NA,no,NA,NA,NA,NA,NA,16,46,25,13,1,1,0,3,13,1,17,2.47664,0.76941,0.22857,0.01344,5.22568,Markus Bauer
X2021tum01,tum01,south,469,4,control_2021,control_2021,NA,NA,2021-06-19,2021,70,20,NA,NA,NA,no,NA,NA,NA,NA,NA,18.5,39,35,20,4,4,0,8,13,0,21,2.70365,0.76045,0.24106,0.00281,5.17692,Markus Bauer
X2021tum02,tum02,south,469,4,control_2021,control_2021,NA,NA,2021-06-19,2021,80,25,NA,NA,NA,no,NA,NA,NA,NA,NA,32,52,30,15,1,1,0,5,15,1,21,2.44516,0.71891,0.30244,0.00253,5.21314,Markus Bauer
X2021tum03,tum03,south,469,4,control_2021,control_2021,NA,NA,2021-06-19,2021,70,15,NA,NA,NA,no,NA,NA,NA,NA,NA,8.5,38.5,31,17,3,3,0,5,13,0,18,2.17594,0.63365,0.17854,0.0122,5.04575,Markus Bauer
X2021tum04,tum04,south,469,4,control_2021,control_2021,NA,NA,2021-06-16,2021,70,20,NA,NA,NA,no,NA,NA,NA,NA,NA,41,61.5,24,11,1,1,0,3,10,1,14,2.00552,0.63105,0.3682,0.00362,5.30905,Markus Bauer
X2021tum05,tum05,south,469,4,control_2021,control_2021,NA,NA,2021-06-16,2021,80,25,NA,NA,NA,no,NA,NA,NA,NA,NA,55,65,22,10,0,0,0,6,12,0,18,2.16882,0.70165,0.4056,0.00746,5.29306,Markus Bauer
X2021tum06,tum06,south,469,4,control_2021,control_2021,NA,NA,2021-06-16,2021,70,10,NA,NA,NA,no,NA,NA,NA,NA,NA,17,47.5,39,14,1,1,1,10,15,0,26,2.55789,0.6982,0.22724,0.00687,5.1799,Markus Bauer
X2021tum07,tum07,south,469,4,control_2021,control_2021,NA,NA,2021-06-16,2021,70,20,NA,NA,NA,no,NA,NA,NA,NA,NA,17,57.5,36,16,2,2,0,8,14,0,22,2.43894,0.6806,0.24327,0.00281,5.2399,Markus Bauer
X2021tum08,tum08,south,469,4,control_2021,control_2021,NA,NA,2021-06-16,2021,70,15,NA,NA,NA,no,NA,NA,NA,NA,NA,27.5,57.5,38,21,7,7,1,8,17,0,26,2.37137,0.65191,0.28976,0.0035,5.27356,Markus Bauer
X2021tum09,tum09,south,469,4,control_2021,control_2021,NA,NA,2021-06-16,2021,70,15,NA,NA,NA,no,NA,NA,NA,NA,NA,7.5,38,44,24,8,8,1,9,14,0,24,2.60488,0.68836,0.19355,0.00253,5.14711,Markus Bauer
X2021tum10,tum10,south,469,4,control_2021,control_2021,NA,NA,2021-06-16,2021,60,10,NA,NA,NA,no,NA,NA,NA,NA,NA,7.5,17.5,34,16,6,6,0,7,15,0,22,2.63974,0.74857,0.21493,0.00642,5.13709,Markus Bauer
X2021tum11,tum11,south,469,4,control_2021,control_2021,NA,NA,2021-06-15,2021,80,25,NA,NA,NA,no,NA,NA,NA,NA,NA,51.5,61.5,28,17,4,3,0,3,9,0,12,2.30287,0.6911,0.31609,0.00159,5.1653,Markus Bauer
X2021tum12,tum12,south,469,4,control_2021,control_2021,NA,NA,2021-06-16,2021,70,20,NA,NA,NA,no,NA,NA,NA,NA,NA,9.5,60,33,17,2,2,0,7,12,1,20,2.23197,0.63834,0.2161,0.00254,5.23158,Markus Bauer
X2021tum13,tum13,south,469,4,control_2021,control_2021,NA,NA,2021-06-16,2021,70,15,NA,NA,NA,no,NA,NA,NA,NA,NA,15.5,46,41,23,7,7,1,8,16,0,25,2.48174,0.66829,0.25583,0.00331,5.27629,Markus Bauer
X2021tum14,tum14,south,469,4,control_2021,control_2021,NA,NA,2021-06-16,2021,70,15,NA,NA,NA,no,NA,NA,NA,NA,NA,9.5,40,34,22,8,8,1,5,12,0,18,2.38904,0.67748,0.24471,0.00309,5.22473,Markus Bauer
X2021tum15,tum15,south,469,4,control_2021,control_2021,NA,NA,2021-06-15,2021,70,15,NA,NA,NA,no,NA,NA,NA,NA,NA,45.5,65.5,26,15,3,3,0,5,11,0,16,2.01052,0.61709,0.31328,0.00228,5.12276,Markus Bauer
X2021tum17,tum17,south,469,4,control_2021,control_2021,NA,NA,2021-06-15,2021,70,15,NA,NA,NA,no,NA,NA,NA,NA,NA,9.5,39.5,40,21,7,7,1,8,17,0,26,2.59123,0.70244,0.2566,0.00637,5.27704,Markus Bauer
X2021tum19,tum19,south,469,4,control_2021,control_2021,NA,NA,2021-06-15,2021,70,25,NA,NA,NA,no,NA,NA,NA,NA,NA,37,47,32,18,3,3,0,4,16,0,20,2.41814,0.69773,0.41063,0.00479,5.3429,Markus Bauer
X2021tum20,tum20,south,469,4,control_2021,control_2021,NA,NA,2021-06-19,2021,80,30,NA,NA,NA,no,NA,NA,NA,NA,NA,7.5,42,34,17,3,3,0,7,16,0,23,2.44126,0.69229,0.26356,0.0044,5.30468,Markus Bauer
X2021tum21,tum21,south,469,4,control_2021,control_2021,NA,NA,2021-06-19,2021,70,15,NA,NA,NA,no,NA,NA,NA,NA,NA,16,36.5,37,22,3,3,0,6,17,0,23,2.73663,0.75788,0.2794,0.00577,5.2733,Markus Bauer
X2021tum23,tum23,south,469,4,control_2021,control_2021,NA,NA,2021-06-19,2021,70,15,NA,NA,NA,no,NA,NA,NA,NA,NA,15.5,48,36,16,2,2,1,8,15,0,24,2.5223,0.70386,0.25736,0.00384,5.27094,Markus Bauer
X2021tum27,tum27,middle,469,4,control_2021,control_2021,NA,NA,2021-06-22,2021,80,20,NA,NA,NA,no,NA,NA,NA,NA,NA,21,41,31,11,2,2,1,7,12,0,20,2.23814,0.65176,0.30554,0.02291,5.42174,Markus Bauer
X2021tum28,tum28,middle,469,4,control_2021,control_2021,NA,NA,2021-06-22,2021,80,20,NA,NA,NA,no,NA,NA,NA,NA,NA,22,42,28,15,6,6,0,8,10,0,18,2.36566,0.70994,0.31732,0.00506,5.30914,Markus Bauer
