accepted_name,X2003roederM01,X2003roederM02,X2003roederM03,X2003roederM04,X2003roederM05,X2003roederM06,X2003roederM07,X2003roederM08,X2003roederM09,X2003roederM10,X2003roederM11,X2003roederM12,X2003roederM13,X2003roederM14,X2003roederM15,X2003roederM16,X2003roederM17,X2003roederM18,X2003roederN01,X2003roederN02,X2003roederN03,X2003roederN04,X2003roederN05,X2003roederN06,X2003roederS01,X2003roederS02,X2003roederS03,X2003roederS04,X2003roederS05,X2003roederS06,X2003roederS07,X2003roederS08,X2003roederS09,X2003roederS10,X2003roederS11,X2003roederS12,X2003roederS13,X2003roederS14,X2003roederS15,X2003roederS16,X2003roederS17,X2003roederS18,X2018roederM01,X2018roederM02,X2018roederM03,X2018roederM04,X2018roederM05,X2018roederM06,X2018roederM07,X2018roederM08,X2018roederM09,X2018roederM10,X2018roederM11,X2018roederM12,X2018roederM13,X2018roederM14,X2018roederM15,X2018roederM16,X2018roederM17,X2018roederM18,X2018roederN01,X2018roederN02,X2018roederN03,X2018roederN04,X2018roederN05,X2018roederN06,X2018roederS01,X2018roederS02,X2018roederS03,X2018roederS04,X2018roederS05,X2018roederS06,X2018roederS07,X2018roederS08,X2018roederS09,X2018roederS10,X2018roederS11,X2018roederS12,X2018roederS13,X2018roederS14,X2018roederS15,X2018roederS16,X2018roederS17,X2018roederS18,X2021tum01,X2021tum02,X2021tum03,X2021tum04,X2021tum05,X2021tum06,X2021tum07,X2021tum08,X2021tum09,X2021tum10,X2021tum11,X2021tum12,X2021tum13,X2021tum14,X2021tum15,X2021tum17,X2021tum19,X2021tum20,X2021tum21,X2021tum23,X2021tum27,X2021tum28,X2021tum29,X2021tum30,X2021tum31,X2021tum32,X2021tum33,X2021tum34,X2021tum35,X2021tum36,X2021tum37,X2021tum38,X2021tum39,X2021tum40,X2021tum41,X2021tum42,X2021tum43,X2021tum44,X2021tum45,X2021tum46,X2021tum47,X2021tum48,X2021tum49,X2021tum50,X2021tum51,X2021tum52,X2021tum53,X2021tum54,X2021tum55,X2021tum56,X2021tum57,X2021tum58,X2021tum59,X2021tum60,X2021tum61,X2021tum62,X2021tum63,X2021tum64,X2021tum65,X2021tum66,X2021tum67,X2021tum68,X2024res01,X2024res02,X2024res03,X2024res04,X2024res05,X2024res06,X2024res07,X2024res08,X2024res09,X2024res10,X2024res11,X2024res12,X2024res13,X2024res14,X2024res15,X2024res16,X2024res17,X2024res18,X2024res19,X2024res20,X2024res21,X2024res22,X2024res23,X2024res24,X2024res25,X2024res26,X2024res27,X2024res28,X2024res29,X2024res30,X2024res31,X2024res32,X2024res33,X2024res34,X2024res35,X2024res36,X2024res37,X2024res38,X2024res39,X2024res40,X2024res41,X2024res42,X2024res43,X2024res44,X2024res45,X2024res46,X2024res47,X2024res48,X2024res49,X2024res50,X2024res51,X2024res52,X2024res53,X2024res54,X2024res55,X2024res56,X2024res57,X2024res58,X2024res59,X2024res60,X2024res61,X2024res62,X2024res63,X2024res64,X2024res65,X2024res66,X2024res67,X2024res68,X2024res69,X2024res70,X2024res71,X2024res72,X2024res73,X2024res74,X2024res75,X2024res76,X2024res77,X2024res78,X2024res79,X2024res80,X2024res81,X2024res82,X2024res83,X2024res84,X2024res85,X2024res86,X2024res87,X2024res88,X2024res89,X2024res90
Anthyllis vulneraria,1,0,1,1,1,3,1,1,0,0,1,0,2,0,2,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0,0.5,0,0,0,0.1,0,0,0.5,0,0.5,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,0.5,0,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0.5,0,4,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0.5,0.5,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0
Arabidopsis thaliana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arabis hirsuta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arenaria serpyllifolia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0.5,0,0,0,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0,0,0,0,0.5,0,0,0
Arrhenatherum elatius,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,4,0.5,0.5,0.5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.5,2,2,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,2,0.5,0.5,4,2,38,0.5,0.5,4,0.5,2,10,0,2,4,0,2,0.5,0,0.5,0,0.5,0,2,0
Asperula tinctoria,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0.5,0.5,0.5,0.5,0.5,0.1,0.5,0.5,0.1,0,0.1,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0.5,0.5,0.5,0.5,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0.5,0.5,0.5,0.5,0,0,0,0,0.5,0.5,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0
Aster alpinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aster amellus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Betonica officinalis,1,1,0,0,0,0,2,2,3,4,2,2,1,1,2,2,0,1,0,0,1,1,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,0,0,1,1,1,1,2,0,0,0,0,2,1,1,2,1,1,1,1,1,1,0,1,1,1,4,2,0,1,2,2,0,1,1,1,1,2,1,1,1,1,0,0,1,0,0,0,0.5,0.5,0,0.5,0.5,0.5,0.5,0.5,2,2,0.5,0.5,0.5,0.5,0.5,2,0.5,0.5,0.5,2,0.5,0.5,0.5,0.5,0.5,0.5,0,0.5,2,2,0,0,0,0.5,0.5,0.5,0.5,0,0.5,2,0.5,0.5,0,0.5,0.5,0.5,0,2,0,0,0.5,0,2,0.5,0,0,0.5,2,2,2,0.5,2,0,0,0,2,0.5,2,2,4,0.5,0.5,0,0,0,0.5,0,0.5,0.5,0,0,0,0,0.5,0,0.5,0.5,0,0.5,0.5,0,0,0,0,0,2,0.5,0,0.5,0.5,0.5,0,0,0,0,0.5,0.5,0,0.5,0,2,2,0.5,10,4,0,0,0,0,0,0,0,0,0.5,0.5,0.5,2,0.5,2,20,4,10,10,4,0.5,4,10,10,10,10,4,4,0,0,0,0.5,0.5,2,2,0.5,0.5,0.5
Betula pendula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
